scisle_czy_humanistyczne,sektor,co_wolisz1,nowe_technologie,zainteresowania,budynki,technika_czy_kreatywnosc,finanse,przyszlosc_zawodowa,matematyka_czy_fizyka,ludzie,chemia_czy_biologia,lekarz,jama_ustna,chemia,sport_i_sylwetka,zywienie,gdzie_pracowac,noworodki,zwierzeta,leczenie_zwierzat,ekologia,podroze,co_wolisz2,angielski,prawo,administracja,jezyk_obce,kultura,lubisz_robic,instytucje_kulturalne,kierunek_dla_ciebie
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Tak,Tak,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Stomatologia
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Tak,Nie,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Lekarski
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Nie,?,Tak,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Farmacja
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Nie,?,Nie,Nie,?,Szpital,Tak,?,?,?,?,?,?,?,?,?,?,?,?,Poloznictwo
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Nie,?,Nie,Nie,?,Szpital,Nie,?,?,?,?,?,?,?,?,?,?,?,?,Pielegniarstwo
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Nie,?,Nie,Nie,?,Karetka,?,?,?,?,?,?,?,?,?,?,?,?,?,Ratownictwo_medyczne
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Nie,?,Nie,Tak,Tak,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Dietetyka
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Tak,?,Nie,?,Nie,Tak,Nie,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Fizjoterapia
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Nie,Biologia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Biotechnologia
Scisle,Tak,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,Nie,Chemia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Analityka_chemiczna
Scisle,Nie,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Tak,Tak,?,?,?,?,?,?,?,?,?,?,Weterynaria
Scisle,Nie,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Tak,Nie,Tak,?,?,?,?,?,?,?,?,?,Ochrona_srodowiska
Scisle,Nie,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Tak,Nie,Nie,?,?,?,?,?,?,?,?,?,Zoologia
Scisle,Nie,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Nie,?,?,Tak,?,?,?,?,?,?,?,?,Turystyka_i_rekreacja
Scisle,Nie,Biologia_Chemia_Geografia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Nie,?,?,Nie,?,?,?,?,?,?,?,?,Geodezja
Scisle,?,Matematyka_Informatyka_Fizyka,Tak,Systemy_komunikacji,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Telekomunikacja
Scisle,?,Matematyka_Informatyka_Fizyka,Tak,Programy_i_aplikacje,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Informatyka
Scisle,?,Matematyka_Informatyka_Fizyka,Tak,Mechanika_i_robotyka,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Mechatronika
Scisle,?,Matematyka_Informatyka_Fizyka,Nie,?,Tak,Technicznym,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Budownictwo
Scisle,?,Matematyka_Informatyka_Fizyka,Nie,?,Tak,Kreatywnym,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Architektura
Scisle,?,Matematyka_Informatyka_Fizyka,Nie,?,Nie,?,Tak,Jako_analityk_doradca,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Ekonomia
Scisle,?,Matematyka_Informatyka_Fizyka,Nie,?,Nie,?,Tak,Jako_ksiegowy,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Finanse_i_rachunkowosc
Scisle,?,Matematyka_Informatyka_Fizyka,Nie,?,Nie,?,Tak,Jako_lider_menedzer,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zarzadzanie
Scisle,?,Matematyka_Informatyka_Fizyka,Nie,?,Nie,?,Nie,?,Matematyka,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Matematyka
Scisle,?,Matematyka_Informatyka_Fizyka,Nie,?,Nie,?,Nie,?,Fizyka,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Fizyka
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Historia_WOS,?,Tak,?,?,?,?,?,Prawo
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Historia_WOS,?,Nie,Miedzynarodowa,?,?,?,?,Stosunki_miedzynarodowe
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Historia_WOS,?,Nie,Krajowa,?,?,?,?,Administracja
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,Tak,?,?,Tak,Krajow_nordyckich,?,?,Skandynawistyka
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,Tak,?,?,Tak,Japonii,?,?,Japonistyka
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,Tak,?,?,Tak,Chin,?,?,Sinologia
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,Tak,?,?,Tak,Krajow_niemiecko-jezykowych,?,?,Filologia__germanska
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,Tak,?,?,Tak,Krajow_romansko-jezykowych,?,?,Filologia_romanska
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,Tak,?,?,Tak,Krajow_slowianskich,?,?,Filologia_slowianska
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,Nie,?,?,Tak,?,?,?,Filologia_angielska
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,?,?,?,Nie,?,Pisac_wlasne_tekst,?,Edytorstwo
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,?,?,?,Nie,?,Pomagac_innym,?,Logopedia
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,?,?,?,Nie,?,Pracowac_w_mediach_i_reklamie,?,Dziennikarstwo
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,?,?,?,Nie,?,Zajmowac_sie_kultura_i_sztuka,Tak,Kulturoznawstwo
Humanistyczne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Zajecia_jezykowe,?,?,?,Nie,?,Zajmowac_sie_kultura_i_sztuka,Nie,Filologia_polska
